adm3_pcode,city_name,mean_actual_rate,mean_pred_rate,rmse,mae,r2
PH050506000,Legazpi City,3.147,2.988,1.5775,1.2706,0.0282
PH015518000,Dagupan City,4.058,3.584,1.9537,1.556,0.0054
PH137503000,City of Navotas,2.623,2.649,1.1838,0.9547,-0.009
PH034919000,Palayan City,1.206,1.2,1.4992,1.2218,-0.06
PH137401000,City of Mandaluyong,2.036,1.876,0.8665,0.6667,-0.0905
PH083747000,Tacloban City,4.162,3.354,1.8471,1.4643,-0.2339
PH063022000,Iloilo City,3.704,3.157,1.3158,0.9976,-0.3903
PH104305000,Cagayan de Oro City,4.212,3.366,2.1491,1.3234,-0.4457
PH072230000,Mandaue City,3.118,2.018,1.8829,1.3909,-0.7708
PH097332000,Zamboanga City,4.12,2.081,2.7734,2.1434,-1.3407
PH137603000,City of Muntinlupa,4.361,2.774,2.1775,1.6919,-1.3506
PH112402000,Davao City,1.872,2.76,1.1169,0.9569,-3.9919
