risk_decile,bin_pred_mean,bin_actual_mean,sample_count,calibration_error
1,1.2539211245198008,1.5136839303590859,251,-0.2597628058392851
2,1.833573637090495,3.275851436730263,251,-1.442277799639768
3,2.083771887433533,2.7216487641527674,251,-0.6378768767192344
4,2.3670475098282253,3.059367526284086,250,-0.6923200164558607
5,2.6157460193234465,3.34856702716947,251,-0.7328210078460233
6,2.759951886766123,3.561487346508177,251,-0.8015354597420541
7,2.9679827218814054,3.436790832966423,250,-0.46880811108501774
8,3.2793455704017003,3.436689797545176,251,-0.15734422714347573
9,3.505778579803786,3.542860530912859,251,-0.037081951109072975
10,3.8385550237930626,4.2869556900369865,251,-0.44840066624392394
